Publishing house		Activity years		Places	Fill in only if  Palestine		number, address						Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (public)		any other note (private)
	مؤسسة تامر للتعليم المجتمعي			Gaza		Palestine	غزة – شارع سعد بن العاص – بجوار مدرسة العائلة المقدسة	00 970 2843799	tamergaza@tamerinst.org	https://www.tamerinst.org/ar/										Publisher of Tayf magazine	
	مؤسسة رؤى للنشر والتوزيع	2004		Sair		Palestine	شارع راس العروض	00 970 59769577								جرادات, نافز		https://kstna.com/business/roah-est-for-publishing-distribution	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مؤسسة عبد المحسن القطان			Ramallah		Palestine	الطيرة - رام الله، فلسطين, 27 شارع جمعية النهضة النسائية	00 970 22960544		http://qattanfoundation.org/ar											
	مؤسسة عدوان للطباعة	1996		Gaza		Palestine	الطيرة - رام الله، فلسطين	00 970 863463								عدوان, مجدي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مؤسسة قضايا للدراسات 			Jerusalem		Palestine															
	مؤسسة محمود درويش للابداع	2009		Kafr Yasif		Israel			darwish.birwa@gmail.com	https://www.facebook.com/darwish.birwa/											
	مؤسسة مرؤى					Palestine															
	مؤسسة نوفل			Beirut		Lebanon															
	مؤسسة ياسر عرفات			Ramallah		Palestine															
PalFest	مجلس الأمناء المؤسسة لاحتفالية فلسطين للأدب	2008		Jerusalem		Palestine				https://www.palfest.org/about-us						سويف, اهداف					
	مجمع القاسم للغة العربية وآدابها			Baqa Al-Gharbiyya		Israel	شارع القاسمي, باقة الغربية	00 972 4 6286600	pro@qsm.ac.il	https://www.qsm.ac.il/category/69/%D9%85%D8%AC%D9%85%D8%B9_%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%D9%8A_%D9%84%D9%84%D8%BA%D8%A9_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9											
	مجمع اللغة العربية			Cairo		Egypt															
	مركز احياء التراث العربي	1981		Al-Tayyiba		Israel										برانسي, صالح	مرعي, سامي		https://www.knooznet.com/?app=article.show.45685	First founded in 1981, not 1993. First event held 1984; then 1986. First publication 1986. See article via link.	
	مركز الأبحاث منظمة التحرير الفلسطيني	1965		Al-Bira		Palestine	شارع تل الزعتر – عمارة محمد الأمين – الطابق الأول	00 970 2966228-2	info@prc.ps	https://www.prc.ps/	Palestine Liberation Organisation					الشقيري, احمد			https://www.prc.ps/%D8%AF%D9%88%D8%B1%D9%8A%D8%A7%D8%AA/	First founded in Lebanon 1965; Moved to Cyprus; Then to Al-Bira. Link to online version of مجلة الشؤون الفلسطينية	
	مركز الإعلان الإسرائيلي					Israel															
	مركز الإنماء التربوي	1996		Ramallah		Palestine										عوض, فريد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مركز الابحاث منظمة التحرير الفلسطينية			Nicosia		Cyprus															
	مركز الاعلام العربى			Cairo		Egypt															
	مركز البستان للاعلام والدراسات الثقافية			Ramallah		Palestine															
	مركز البيرة لتنمية الطفل			Al-Bira		Palestine	بلدية البيرة			https://www.facebook.com/AlBirehMunicipality/posts/1839093286151208/											
	مركز الدراسات الفلسطينية بجامعة بغداد			Baghdad		Iraq															
CARE	مركز الدراسات والتطبيقات التربوية			Jerusalem		Palestine															
CARE	مركز الدراسات والتطبيقات التربوية	1997		Ramallah		Palestine	ش. القدس, الميدان, رام الله والبيرة	00 970 2954021 								عبد الله, غسان		https://yellowpages.com.ps/companies/28814-%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مركز الزهراء للدراسات والأبحاث			Jerusalem		Palestine															
	مركز السراج للثقافة والفنون والمسرح			Jerusalem		Palestine										عقل, عبد اللطيف					
	مركز الشهيد أبو جهاد لشؤون الحركة الاسيرة			Ramallah		Palestine				https://www.facebook.com/pages/category/Organization/%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D8%A8%D9%88-%D8%AC%D9%87%D8%A7%D8%AF-%D9%84%D8%B4%D8%A4%D9%88%D9%86-%D8%A7%D9%84%D8%AD%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D9%8A%D8%B1%D8%A9-%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D8%B3-374912045945668/									https://pulpit.alwatanvoice.com/content/print/211002.html	Link sets out aims of community group, including its publishing objectives	
	مركز الفالوجا للدراسات والنشر تعني بترجمة عن الاعلام الاسرائيلي وصهيوني			Al-Faluja		Palestine															
	مركز اللقاء	1982		Bethlehem		Palestine	 54-56 Al-Quds Jerusalem Street, Bethlehem	00 972 972 22742321	al-liqa@p-ol.com	http://www.al-liqacenter.org.ps/arb/archive/2018/Beth15August/?display=album											
	مركز المشرق للدراسات			Ramallah		Palestine	ط. 1,ع. الرموني,ش. المعاهد, دوار الساعة, وسط البلد, رام الله والبيرة	00 970 22987006										https://yellowpages.com.ps/companies/6941-%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82-%D9%84%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA			
	مركز الوطن للثقافة والإعلام			Hebron		Palestine	مقابل البلدية, عين سارا, الخليل	00 970 9927987								الهشلمون, نايف		https://kstna.com/business/al-wattan-center-for-culture-science-media	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مركز اوغاريت	1998		Ramallah		Palestine		00 970 5740321								الغزاوي, عزت		https://www.facebook.com/103552476818/posts/298198813642167/	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started. Published over 170 books. http://alrai.com/article/634031/%D8%A7%D9%84%D8%B1%D8%A3%D9%8A-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A/%D9%85%D8%B1%D9%83%D8%B2-%D8%A3%D9%88%D8%BA%D8%A7%D8%B1%D9%8A%D8%AA-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A--%D9%8A%D9%82%D8%AF%D9%85-%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D8%A7%D8%B5%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9	
	مركز باحث للدراسات			Beirut		Lebanon															
	مركز بيت المقدس للادب			Jerusalem		Palestine															
	مركز جاليليو الثقافي			Jerusalem		Palestine	شارع الجامعة, مقابل سوبرماركت جينيفا, عمارة عبد الوهاب الشيخ			https://www.facebook.com/pages/category/Product-Service/%D9%85%D8%B1%D9%83%D8%B2-%D8%AC%D8%A7%D9%84%D9%8A%D9%84%D9%8A%D9%88-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A-232809920925666/										Need to check that this address is in Jerusalem, or another centre elsewhere with the same name.	
	مركز دراسات الشرق الأوسط			Amman		Jordan															
	مركز دراسات الوحدة العربية 			Beirut		Lebanon															
	مركز سعادة للطباعة والكمبيوتر			Tulkarm		Palestine															
	مركز سنابل للدراسات والتراث الشعبي	1996		Sair		Palestine		00 972 599206664													
	مطابع الأيام			Ramallah		Palestine	ش. الايام,قرب قصر الثقافة, المنطقة الصناعية, رام الله والبيرة	00 970 2 2987341										https://yellowpages.com.ps/companies/2606-%D8%AC%D8%B1%D9%8A%D8%AF%D8%A9-%D9%88%D9%85%D8%B7%D8%A7%D8%A8%D8%B9-%D8%A7%D9%84%D8%A7%D9%8A%D8%A7%D9%85			
	مطابع الصيفي			Amman		Jordan															
	مطابع الفنار			Amman		Jordan															
	مطابع القدس العربية			Jerusalem		Palestine															
	مطبعة ادم			Ramallah		Palestine															
	مطبعة الأمان			Amman		Jordan															
	مطبعة الاتحاد التعاونية			Haifa		Israel															
	مطبعة الاعتصام			Cairo		Egypt															
	مطبعة البطوف			Kafr Manda		Israel															
	مطبعة التوفيق			Amman		Jordan															
	مطبعة الجهاد			Jerusalem		Palestine															
	مطبعة الحسن للطباعة والنشر			Beitunya		Palestine															
	مطبعة الحقيقة			Kafr Yasif		Israel															
	مطبعة الخليج العربى			Tetouan 		Morocco															
	مطبعة الشعراوية			Tulkarm		Palestine															
	مطبعة الشورى			Cairo		Egypt															
	مطبعة الصباح			Damascus		Syria															
	مطبعة العرب			Jerusalem		Palestine															
	مطبعة العودة			Amman		Jordan															
	مطبعة الكرمة			Haifa		Palestine															
	مطبعة المنار الحديثة			Jerusalem		Israel															
	مطبعة النصرـ حجاوي			Nablus		Palestine															
	مطبعة النهضة			Nazareth		Palestine															
	مطبعة بيت المقدس			Jerusalem		Palestine															
	مطبعة دار المشرق			Haifa		Israel															
	مطبعة دار المشرق للترجمة والطباعة والنشر			Shafa Amr		Israel															
	مطبعة دير دبوان	1996		Ramallah		Palestine		00 970 2956181								حجازي, سعد الدين			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مطبعة سما			Mi'ilya		Israel															
	مطبعة عين الرومانة			Beirut		Lebanon															
	مطبعة كفر قاسم			Kafr Qasim		Israel															
	مطبعة مسودي			Jerusalem		Palestine															
	مع الناس			Jerusalem		Palestine															
	معهد الفنون الجميلة			Ramallah		Palestine				https://www.facebook.com/pages/%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D9%81%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%AC%D9%85%D9%8A%D9%84%D8%A9-%D8%B1%D8%A7%D9%85-%D8%A7%D9%84%D9%84%D9%87-LInstitut-des-Beaux-Arts-Ramallah/377044525695686											
	مكتب البرج			Acre		Israel															
	مكتب الشؤون الفكرية والدراسات			Ramallah		Palestine															
	مكتب اليسار			Jatt al-Muthalath		Israel															
	مكتبة الأقصى	1997		Khan Yunis		Palestine		00 972 59-960-0365		https://www.facebook.com/AqsaBookShop/						عبد النجار,عايش			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مكتبة الانجلو المصرية			Cairo		Egypt															
Al-Andulus Library	مكتبة الاندلس بالقدس			Jerusalem		Palestine	Dabbagha Street									يوسف, فوزي		Country of location listed as Jordan in 1961			
	مكتبة الزيتون			Nablus		Palestine															
	مكتبة الشروق الثقافية			Gaza		Palestine	غزة - الرمال - مقابل مجمع الوزارات	00 970 9202595599	adlinazzal@yahoo.com	https://www.facebook.com/alshorokbookshop/								https://www.haydarya.com/?id=37			
	مكتبة الشعب			Shafa Amr		Israel															
	مكتبة الطليعة العلمية			Amman		Jordan															
	مكتبة الكمال	1958		Nablus		Palestine	نابلس, شارع فلسطين, مقابل وزارة التربية والتعليم قديم	00 972 59-885-0950	alkamal_bookshop@hotmail.com	https://www.facebook.com/alkamal.bookshop/											
	مكتبة المحتسب			Jerusalem		Palestine													http://www.palestineinarabic.com/photo_persons_sk.html		
	مكتبة النجاح	1996		Nablus		Palestine		00 970 02377153								عليوي, ناجح			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	مكتبة اليازجي	1986		Gaza		Palestine	 غزة - شارع الوحدة 	00 970 599222466	bookshop@palnet.com	https://www.facebook.com/yazjibs/						اليازجي, ابراهيم		https://www.haydarya.com/?id=37		Specialises in children's literature.	
	مكتبة بلدية رام الله العامة			Ramallah		Palestine		00 970 2945555		https://www.ramallah.ps/calendar/page.aspx?id=p4DyxFa1650339702ap4DyxF											
	مكتبة بلدية نابلس العامة	1960		Nablus		Palestine	نابلس، شارع الشويترة	00 972 92374690		http://nablus.org/index.php/ar/centers/library-ar											
	مكتبة بيسان			Beirut		Lebanon															
	مكتبة جزيرة الورد			Cairo		Egypt															
	مكتبة خالد بن الوليد			Nablus		Palestine															
	مكتبة دار الاعلام للنشر والتوزيع			Nablus		Palestine		00 970 92387512		https://www.facebook.com/dar.al.aalam.nablus/											
	مكتبة دار الفكر والطفل					Palestine															
	مكتبة دار الوطن للنشر والتوزيع			Tulkarm		Palestine		00 970 597 248004		https://www.facebook.com/pg/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%AF%D8%A7%D8%B1-%D9%88%D8%B7%D9%86-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D8%B7%D9%88%D9%84%D9%83%D8%B1%D9%85-296852737150889/posts/											
	مكتبة دنديس للنشر والتوزيع			Hebron		Palestine	فلسطين - الخليل - شارع وادي التفاح 	00 970 970 2 2299993		http://www.lailnhar.com/content/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%AF%D9%86%D8%AF%D9%8A%D8%B3-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A%D8%A9-%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D9%84%D9%8A%D8%AF-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9									http://www.lailnhar.com/content/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%AF%D9%86%D8%AF%D9%8A%D8%B3-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A%D8%A9-%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D9%84%D9%8A%D8%AF-%D9%84%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D8%B2%D9%8A%D8%B9	Connected to دار الوليد	
	مكتبة دنيا الطلبة			Gaza		Palestine															
	مكتبة سمير منصور			Gaza		Palestine	Gaza City 5, Gaza, Palestine	00 970 599 732 212	samirmansour@live.com	https://www.facebook.com/samirmansourbookshop/											
	مكتبة كل شيء			Haifa		Israel	Kebots Galoyoy 140, Haifa 31002	00 972 54 7700089	info@kul-shee.com	https://www.facebook.com/KulSheeHaifa/											
	مكتبة لبنان			Beirut		Lebanon															
	مكتبة ومطبعة أبو رحمون			Acre		Israel		00 972 49916278										The first editor is referred to only as Ahmed. Previously  connected to Edward Said and family	This bookshop specialised in books by Palestinian writers, local and internationally based.		
	ملتقى بلاطة الثقافي	1991		Nablus		Palestine	نابلس ـ بلاطة البلاد	00 970 598 938 315		https://www.facebook.com/pages/category/Community/%D9%85%D9%84%D8%AA%D9%82%D9%89-%D8%A8%D9%84%D8%A7%D8%B7%D8%A9-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A-119287908136896/											
	منتدى فلسطين			Beirut		Lebanon															
	منشورات اتحاد الكتاب العرب			Damascus		Syria															
	منشورات الاتحاد العام للكتاب والادباء الفلسطينين			Ramallah		Palestine						الاتحاد العام للكتاب والأدباء الفلسطينيين									
	منشورات الثقافة التقدمية			Nazareth		Palestine															
	منشورات الرواد			Jerusalem		Palestine															
	منشورات الصمود العربي			Nicosia		Cyprus															
	منشورات الكرمل			Haifa		Israel															
	منشورات المجلس القومي للثقافة العربية			Rabat		Morocco															
	منشورات صلاح الدين			Jerusalem		Palestine															
	منشورات مكتبة الشعب			Shafa Amr		Israel															
	منظمة الشبيبة الديمقراطية الفلسطينية			Beirut		Lebanon															
	منظمة المرأة الفلسطينية			Damascus		Syria															
	مهرجان الأقصى الادبي	1996	2015	Umm Al-Fahm		Palestine					الحركة الإسلامية										
	مواطن المؤسسة الفلسطينية لدراسة الديموقراطية			Ramallah		Palestine				http://muwatin.noursoft.net/											
	ناديا للطباعة والنشر والتوزيع	1997		Ramallah		Palestine	ع. دير اللاتين,ش. الرئيسي,فوق مكتبة الحصري, البلدة القديمة, رام الله والبيرة	00 970  02960919										https://yellowpages.com.ps/companies/29170-%D9%85%D8%A4%D8%B3%D8%B3%D8%A9-%D9%86%D8%A7%D8%AF%D9%8A%D8%A7-%D9%84%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D8%B4%D8%B1-%D9%88%D8%A7%D9%84%D8%AF%D8%B9%D8%A7%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D8%A7%D9%86			
	وزارة الثفافة	1994		Al-Bira		Palestine										الجعبة, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	وزارة الثفافة			Amman		Jordan															
	وزارة الثفافة والإرشاد			Baghdad		Iraq															
	وزارة الثفافة والإرشاد القومي			Damascus		Syria															
	وزارة الشؤون الثقافية			Tunis		Tunisia															
	وزارة المعارف والثقافة دائرة الثقافة العربية			Nazareth		Palestine															
	وزارة شؤون الاسرى والمحررين	1998		Al-Bira		Palestine	عمارة ابراج الزهراء –البالوع -البيرة	00 970 02-2411318		http://cda.gov.ps/index.php/ar/ar-callus										Branches in other towns of Palestine	
	وكالة أبو عرفة للصحافة والنشر			Jerusalem		Palestine												https://www.nli.org.il/en/books/NNL_ALEPH990000195620205171/NLI			
	وكالة التوزيع والإعلان الفلسطينية	1996		Nablus		Palestine		00 970 504441											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	وكالة الشرق الأوسط للتوزيع	1996		Jerusalem		Palestine	شارع صلاح الدين ١٩	00 972 6273605								راحيل, يوسف			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
UNRWRA	وكالة الغوث الدولية - دائرة التربية والتعليم			Jerusalem		Palestine															
	ياغي	1996		Gaza		Palestine										ياغي, صبحي			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
Colombia University				New York City		United States															
Imprenta Tropas Coloniales				Tetouan 		Morocco															
Iraqi Cultural Centre				London		United Kingdom															
Ramallah Center for Human Rights Studies				Ramallah		Palestine															
Universite Saint-Joseph				Beirut		Lebanon															
University of London Press Limited 				London		United Kingdom															
Zeit im Bild Verlag 				Dresden		German Democratic Republic															
AL-HAYAT Publishing Co.				London		United Kingdom															
Arab Center for Research and Policy Studies				Doha		Qatar															
Banipal Publishing		1998		London		United Kingdom															
	دار ديار	2016		Tunis		Tunisia															
Arabesques				Tunis		Tunisia															
	المكتبة الشعبية	1966	1987	Nazareth		Israel					الحزب الشيوعي الإسرائيلي										
	مؤسسة الأبحاث العربية			Beirut		Lebanon															
	دار النهضة			Baghdad		Iraq															
	دار صلاح الدين			Jerusalem		Palestine															
	دار المستقبل			Jericho		Palestine															
	دار الناصرة			Nazareth		Palestine															
	دار الفاروق			Nablus		Palestine															
	دار الشمس			Baqa Al-Gharbiyya		Israel															
	دار القدس العربي			Acre		Israel															
	دار أبو رحمون			Acre		Israel															
Sharq Cooperative				Jerusalem		Palestine															
Sharq Press				Nicosia		Cyprus															
	دار القلم			Kuwait City		Kuwait															
	دار النمير			Beirut		Lebanon															
	مكتبة الطليعة			Beirut		Lebanon															
	مؤسسة عمان للصحافة والنشر			Wadi Kabir		Oman															
	المركز العربي للأبحاث ودراسة 			Doha		Qatar															
	دار الحرية			Damascus		Syria												Based in Al-Yarmouk Camp before it was destroyed in 2015.			
	دار الحوار			Latakia		Syria															
	المجمع الثقافي			Abu Dhabi		United Arab Emirates															
	دار الكرنك للطباعة والنشر			Nablus		Palestine	يافا الناصرة , 16115 , ت	00 970  6  6553514										http://cms.education.gov.il/educationcms/applications/mankal/arc/download/doc_sf9bh6_3_4_10.doc	عناوين دور النشر التي وردت اسماؤهم في هذه القائمة مع ارقام الهواتف		
	دار النهضة للطباعة والنشر			Nazareth		Palestine	الشارع الرئيسي – حارة العمارنه ص . ب . 936	00 970 4 6554201										http://cms.education.gov.il/educationcms/applications/mankal/arc/download/doc_sf9bh6_3_4_10.doc	عناوين دور النشر التي وردت اسماؤهم في هذه القائمة مع ارقام الهواتف		
	دار المعرفة للطباعة والنشر			Haifa		Israel	– شارع شبتاي ليفي , حيفا 33304	00972 4 8510447										http://cms.education.gov.il/educationcms/applications/mankal/arc/download/doc_sf9bh6_3_4_10.doc	عناوين دور النشر التي وردت اسماؤهم في هذه القائمة مع ارقام الهواتف		
	مطبعة احمد سمار			Tamra		Israel	Hazafon, Tamra	00 972 52 607 9494										http://cms.education.gov.il/educationcms/applications/mankal/arc/download/doc_sf9bh6_3_4_10.doc	عناوين دور النشر التي وردت اسماؤهم في هذه القائمة مع ارقام الهواتف		
	دار الثقافة العلمي			Cairo		Egypt															
	دار الفكر العربي			Cairo		Egypt															
	دار مجدلاوي للنشر والتوزيع			Amman		Jordan	مبنى الجامعة الاستثماري رقم 1، الطابق الأرضي, عمان														
	مجمع القاسمي للغة العربية			Baqa Al-Gharbiyya		Israel															
	جمعية الملتقى الفكري العربي			Jerusalem		Palestine															
	دار الهادي			Beirut		Lebanon															
	دار السبيل			Damascus		Syria															
	الهيئة العامة السورية للكتاب			Damascus		Syria															
	دار آمنة			Amman		Jordan															
	دار ابن خلدون			Gaza		Palestine															
	لجنة الأبحاث الاجتماعية والتراث الشعبي الفلسطيني			Al-Bira		Palestine															
	عالم الكتب الحديث للنشر			Irbid		Jordan															
	منشورات لرابطة الكتاب الأردنيين			Amman		Jordan															
	أرشيف الفلكلور الفلسطيني			Amman		Jordan															
	منشورات الرواد			Jerusalem		Palestine															
	دار المعارف			Cairo		Egypt															
	مؤسسة ابن رشد			Jerusalem		Palestine															
	دار "أبو سلمى" لنشر الفكر الفلسطيني التقدمي			Acre		Israel															
	دار الفتح			Amman		Jordan															
	منشورات العودة			Acre		Israel															
	دار المريخ			Riyadh		Saudi Arabia															
	دار المشرق			Jerusalem		Palestine															
	المواكب			Acre		Israel															
	دار نينوي			Damascus		Syria															
	جامعة اليرموك ، عمادة البحث العلمي والدراسات العليا			Irbid		Jordan															
	دار الساقي			Beirut		Lebanon															
	مؤسسة سنابل للنشر والتوزيع 			Nicosia		Cyprus															
	المركز القومي للبحوث والدراسات العلمية					Libya															
	 دار الفيصل الثقافية			Riyadh		Saudi Arabia															
	 شركة الأندلس الجديدة 			Paris		France															
